,CAS-ID,Compound Names,Smiles from CAS IDs,predicted_pIC50_cas_values,distance_to_ensemble_models_for_cas_compounds
31,144848-58-8,"2(1H)-Pyrimidinone, 4-amino-1-(2-deoxy-3-S-ethyl-3-thio-ÃŽÂ±-D-erythro-pentofuranosyl)-",Not available,-0.8050472939807874,0.2720741781853251
32,502623-93-0,"4,6-Heptadien-3-one, 5-hydroxy-1-(4-hydroxy-3-methoxyphenyl)-7-(4-hydroxyphenyl)-, (4Z,6E)-",Not available,-0.8050472939807874,0.2720741781853251
33,723263-22-7,"1H-Imidazo[4,5-c]quinolin-4-amine, 1-(2-methylpropyl)-8-(4-phenoxyphenyl)-",Not available,-0.8050472939807874,0.2720741781853251
34,937397-88-1,"1-Piperidinecarboxylic acid, 4-[[2-amino-5-[[[(2R,3S)-3-[[[[(3R,3aS,6aR)-hexahydrofuro[2,3-b]furan-3-yl]oxy]carbonyl]amino]-2-hydroxy-4-phenylbutyl](2-methylpropyl)amino]sulfonyl]phenyl]amino]-, 1,1-dimethylethyl ester",Not available,-0.8050472939807874,0.2720741781853251
35,1951464-81-5,"3Ã¢â‚¬Â²-Inosinic acid, 2Ã¢â‚¬Â²-deoxy-2Ã¢â‚¬Â²-fluoroinosinylyl-(3Ã¢â‚¬Â²Ã¢â€ â€™5Ã¢â‚¬Â²)-2Ã¢â‚¬Â²-deoxy-2Ã¢â‚¬Â²-fluoro-, cyclic nucleotide",Not available,-0.8078183799807267,0.2717710730254894
36,1312908-77-2,"4H-1-Benzopyran-4-one, 2-(5-chloro-1H-1,2,4-triazol-3-yl)-6-[(4-fluorophenyl)methoxy]-3-hydroxy-7-methyl-",Not available,-0.8082664978306009,0.2808084126626977
37,853792-82-2,"1H-Imidazo[4,5-c]quinolin-4-amine, 1-(1-methylethyl)-",Not available,-0.8091415837700292,0.27080077030532157
38,2243245-34-1,"Hydrazinecarbothioamide, 2-[5-chloro-1,2-dihydro-1-[5-[4-[(2-methyl-5-nitro-1H-imidazol-1-yl)methyl]-1H-1,2,3-triazol-1-yl]pentyl]-2-oxo-3H-indol-3-ylidene]-, (2Z)-",Not available,-0.8133557611509192,0.2075778332165453
39,2243245-37-4,"Hydrazinecarbothioamide, 2-[5-fluoro-1,2-dihydro-1-[4-[4-[(2-methyl-5-nitro-1H-imidazol-1-yl)methyl]-1H-1,2,3-triazol-1-yl]butyl]-2-oxo-3H-indol-3-ylidene]-, (2Z)-",Not available,-0.8133557611509192,0.2075778332165453
40,2363060-74-4,Not Yet Assigned,Not available,-0.8145621154356913,0.26169221640698215
41,2243245-33-0,"Hydrazinecarbothioamide, 2-[5-chloro-1,2-dihydro-1-[4-[4-[(2-methyl-5-nitro-1H-imidazol-1-yl)methyl]-1H-1,2,3-triazol-1-yl]butyl]-2-oxo-3H-indol-3-ylidene]-, (2Z)-",Not available,-0.8163545868351881,0.2962248195912703
42,2243245-35-2,"Hydrazinecarbothioamide, 2-[5-fluoro-1,2-dihydro-1-[2-[4-[(2-methyl-5-nitro-1H-imidazol-1-yl)methyl]-1H-1,2,3-triazol-1-yl]ethyl]-2-oxo-3H-indol-3-ylidene]-, (2Z)-",Not available,-0.8163545868351881,0.2962248195912703
43,2361527-81-1,"Benzenesulfonothioic acid, 4-methyl-, (2S)-2-[[(2S)-2-[[(4-methyl-1-piperazinyl)carbonyl]amino]-1-oxo-3-phenylpropyl]amino]-4-phenylbutyl ester",Not available,-0.8165720437631193,0.18940285020015152
44,853792-92-4,"1H-Imidazo[4,5-c]quinolin-4-amine, 2-heptyl-1-(2-methylpropyl)-",Not available,-0.8180418936806075,0.27486968574269605
45,2243079-72-1,Not Yet Assigned,Not available,-0.8224159211836951,0.21932792191599665
